annotation_index,image_id,human_label,label_name
175,7026715,0,Dent
382,7048410,2,Rim
370,7054203,3,Scratch
200,7072447,3,Scratch
728,7048885,0,Dent
168,7048637,2,Rim
426,7069599,3,Scratch
77,7040796,0,Dent
236,7025372,1,Other
836,7049108,3,Scratch
316,7068667,2,Rim
89,7057752,1,Other
16,7036543,3,Scratch
742,7074812,1,Other
245,7050345,3,Scratch
255,7040344,0,Dent
254,7071864,3,Scratch
736,7069823,0,Dent
580,7051464,0,Dent
509,7070814,0,Dent
432,7071261,1,Other
463,7036533,2,Rim
290,7044612,2,Rim
71,7038423,3,Scratch
59,7041108,2,Rim
456,7074826,2,Rim
828,7070911,3,Scratch
762,7029264,3,Scratch
365,7067258,3,Scratch
561,7027149,3,Scratch
350,7073868,3,Scratch
473,7072891,1,Other
473,7072891,1,Other
473,7072891,1,Other
473,7072891,1,Other
188,7027406,3,Scratch
747,7071587,1,Other
747,7071587,1,Other
747,7071587,1,Other
670,7066410,2,Rim
833,7029059,3,Scratch
432,7071261,1,Other
838,7066266,2,Rim
430,7071297,0,Dent
803,7072086,3,Scratch
747,7071587,1,Other
332,7058182,2,Rim
860,7057523,0,Dent
21,7038438,3,Scratch
778,7072928,3,Scratch
719,7058807,0,Dent
891,7071010,1,Other
891,7071010,1,Other
415,7073094,2,Rim
543,7034560,3,Scratch
543,7034560,3,Scratch
54,7075255,3,Scratch
60,7062405,0,Dent
271,7071604,1,Other
214,7028923,3,Scratch
432,7071261,1,Other
358,7063841,0,Dent
803,7072086,3,Scratch
578,7025683,2,Rim
677,7072424,0,Dent
512,7034794,3,Scratch
891,7071010,1,Other
271,7071604,1,Other
431,7040995,3,Scratch
802,7072086,0,Dent
250,7035038,3,Scratch
250,7035038,3,Scratch
490,7069846,2,Rim
490,7069846,2,Rim
75,7051604,0,Dent
861,7036318,3,Scratch
156,7070705,1,Other
156,7070705,1,Other
720,7058507,2,Rim
308,7025447,1,Other
46,7036076,2,Rim
873,7048595,1,Other
873,7048595,1,Other
653,7042025,3,Scratch
891,7071010,1,Other
271,7071604,1,Other
474,7056192,3,Scratch
534,7065457,2,Rim
156,7070705,1,Other
308,7025447,1,Other
308,7025447,1,Other
301,7026376,2,Rim
220,7070917,3,Scratch
438,7062192,0,Dent
354,7070745,0,Dent
48,7055548,3,Scratch
726,7056445,2,Rim
73,7049171,3,Scratch
284,7073856,3,Scratch
807,7062415,0,Dent
432,7071261,1,Other
199,7034714,3,Scratch
134,7034548,3,Scratch
369,7054203,2,Rim
156,7070705,1,Other
750,7036300,2,Rim
756,7051672,3,Scratch
81,7060866,0,Dent
837,7071907,3,Scratch
599,7070007,0,Dent
483,7026440,0,Dent
204,7031131,3,Scratch
397,7068348,0,Dent
604,7056001,3,Scratch
409,7025458,1,Other
409,7025458,1,Other
409,7025458,1,Other
817,7069828,3,Scratch
366,7056098,0,Dent
419,7026385,3,Scratch
327,7044101,0,Dent
3,7074070,3,Scratch
476,7031863,3,Scratch
271,7071604,1,Other
400,7031579,0,Dent
774,7074781,0,Dent
836,7049108,3,Scratch
724,7036125,2,Rim
601,7031597,0,Dent
695,7026428,2,Rim
852,7065085,0,Dent
409,7025458,1,Other
315,7068667,0,Dent
388,7071028,0,Dent
730,7043912,0,Dent
859,7057523,0,Dent
145,7071722,1,Other
145,7071722,1,Other
294,7038407,3,Scratch
17,7036543,3,Scratch
136,7035064,3,Scratch
527,7032143,0,Dent
575,7070191,2,Rim
783,7067598,3,Scratch
161,7037701,2,Rim
74,7049171,1,Other
74,7049171,1,Other
779,7031782,3,Scratch
281,7030892,3,Scratch
247,7059390,0,Dent
744,7074812,1,Other
744,7074812,1,Other
878,7031786,1,Other
878,7031786,1,Other
492,7071295,2,Rim
211,7074818,1,Other
211,7074818,1,Other
79,7035057,3,Scratch
630,7071007,1,Other
630,7071007,1,Other
159,7027556,0,Dent
809,7070036,2,Rim
242,7029096,3,Scratch
242,7029096,3,Scratch
222,7070917,3,Scratch
889,7071010,2,Rim
76,7070056,0,Dent
732,7071610,1,Other
732,7071610,1,Other
377,7025392,1,Other
377,7025392,1,Other
97,7067002,3,Scratch
507,7031547,3,Scratch
887,7025866,1,Other
887,7025866,1,Other
633,7069916,2,Rim
841,7026519,3,Scratch
407,7070386,0,Dent
37,7040267,0,Dent
658,7073495,2,Rim
823,7030874,0,Dent
263,7030895,3,Scratch
791,7031845,1,Other
498,7029100,0,Dent
231,7053309,3,Scratch
231,7053309,3,Scratch
20,7026503,0,Dent
377,7025392,1,Other
706,7061783,0,Dent
872,7048595,1,Other
118,7038134,3,Scratch
679,7038325,3,Scratch
433,7046478,2,Rim
440,7034568,3,Scratch
818,7069828,3,Scratch
880,7038335,3,Scratch
319,7048713,3,Scratch
681,7046372,2,Rim
5,7060727,2,Rim
881,7038335,3,Scratch
89,7057752,1,Other
178,7034958,3,Scratch
854,7031100,3,Scratch
108,7031905,3,Scratch
812,7070036,0,Dent
615,7064992,1,Other
615,7064992,1,Other
615,7064992,1,Other
615,7064992,1,Other
525,7031796,1,Other
525,7031796,1,Other
525,7031796,1,Other
525,7031796,1,Other
377,7025392,1,Other
732,7071610,1,Other
732,7071610,1,Other
872,7048595,1,Other
872,7048595,1,Other
347,7070285,2,Rim
155,7070208,0,Dent
743,7074812,1,Other
743,7074812,1,Other
743,7074812,1,Other
743,7074812,1,Other
417,7060813,2,Rim
480,7055743,2,Rim
338,7034754,3,Scratch
263,7030895,3,Scratch
141,7070924,2,Rim
693,7068144,3,Scratch
757,7071952,0,Dent
579,7067467,3,Scratch
278,7049751,3,Scratch
744,7074812,1,Other
744,7074812,1,Other
881,7038335,3,Scratch
167,7040312,0,Dent
568,7040112,0,Dent
506,7044755,2,Rim
239,7070287,3,Scratch
494,7071295,0,Dent
266,7058629,0,Dent
101,7066460,3,Scratch
101,7066460,3,Scratch
15,7037300,2,Rim
791,7031845,1,Other
378,7076484,2,Rim
344,7035050,3,Scratch
125,7038432,3,Scratch
746,7043848,0,Dent
193,7038267,3,Scratch
0,7057517,1,Other
0,7057517,1,Other
435,7043413,0,Dent
628,7071007,3,Scratch
137,7041337,3,Scratch
379,7050001,2,Rim
813,7070036,0,Dent
813,7070036,0,Dent
723,7068411,0,Dent
526,7043481,0,Dent
807,7062415,0,Dent
235,7031757,3,Scratch
225,7072506,0,Dent
559,7060088,1,Other
559,7060088,1,Other
162,7031873,3,Scratch
444,7058914,0,Dent
297,7072750,3,Scratch
867,7061194,0,Dent
624,7030656,1,Other
624,7030656,1,Other
624,7030656,1,Other
196,7040299,3,Scratch
887,7025866,1,Other
565,7070891,0,Dent
565,7070891,0,Dent
413,7048486,0,Dent
176,7035097,3,Scratch
189,7059539,3,Scratch
885,7045015,3,Scratch
235,7031757,3,Scratch
150,7064241,1,Other
150,7064241,1,Other
566,7070891,0,Dent
643,7066367,0,Dent
171,7044693,0,Dent
320,7048713,3,Scratch
320,7048713,3,Scratch
10,7046596,2,Rim
31,7046521,0,Dent
49,7044701,0,Dent
739,7057514,0,Dent
816,7072300,1,Other
270,7071604,1,Other
270,7071604,1,Other
270,7071604,1,Other
103,7052805,3,Scratch
6,7031758,3,Scratch
208,7032537,0,Dent
122,7074046,2,Rim
331,7026511,3,Scratch
331,7026511,3,Scratch
884,7036007,0,Dent
560,7060325,2,Rim
7,7046567,2,Rim
253,7071864,0,Dent
559,7060088,1,Other
