annotation_index,image_id,human_label,label_name
445,7034878,3,Scratch
513,7056316,2,Rim
137,7041337,3,Scratch
290,7044612,2,Rim
282,7049205,2,Rim
698,7075891,1,Other
809,7070036,2,Rim
830,7038226,3,Scratch
630,7071007,1,Other
529,7059041,2,Rim
685,7041117,0,Dent
883,7041118,2,Rim
619,7070810,0,Dent
526,7043481,0,Dent
79,7035057,3,Scratch
144,7071722,1,Other
592,7050884,2,Rim
220,7070917,3,Scratch
419,7026385,3,Scratch
889,7071010,2,Rim
122,7074046,2,Rim
14,7075548,3,Scratch
462,7060061,2,Rim
667,7028270,0,Dent
309,7054388,2,Rim
311,7037733,3,Scratch
232,7041084,2,Rim
629,7071007,1,Other
176,7035097,3,Scratch
511,7069858,1,Other
555,7059279,2,Rim
709,7068889,2,Rim
32,7060898,2,Rim
765,7071715,2,Rim
840,7026519,2,Rim
496,7060289,2,Rim
105,7030898,0,Dent
195,7038425,2,Rim
57,7073374,3,Scratch
270,7071604,1,Other
354,7070745,0,Dent
356,7030703,0,Dent
510,7064609,2,Rim
876,7059063,2,Rim
502,7040139,0,Dent
622,7062011,2,Rim
123,7054613,3,Scratch
578,7025683,2,Rim
697,7060636,2,Rim
334,7038327,2,Rim
791,7031845,1,Other
128,7038293,2,Rim
247,7059390,0,Dent
283,7049205,3,Scratch
833,7029059,3,Scratch
36,7027038,2,Rim
222,7070917,3,Scratch
730,7043912,0,Dent
542,7034560,0,Dent
485,7026542,0,Dent
1,7073954,1,Other
782,7045110,2,Rim
666,7060596,2,Rim
343,7030896,2,Rim
59,7041108,2,Rim
143,7068630,0,Dent
69,7058622,1,Other
231,7053309,3,Scratch
172,7025546,0,Dent
169,7057694,2,Rim
191,7029225,3,Scratch
841,7026519,3,Scratch
75,7051604,0,Dent
793,7073466,2,Rim
203,7065194,2,Rim
366,7056098,0,Dent
759,7031332,3,Scratch
614,7038316,0,Dent
404,7058274,0,Dent
379,7050001,2,Rim
156,7070705,1,Other
401,7035233,0,Dent
43,7062009,2,Rim
304,7060269,2,Rim
111,7070122,3,Scratch
639,7053282,2,Rim
235,7031757,3,Scratch
2,7073954,0,Dent
758,7058710,2,Rim
508,7070814,0,Dent
522,7048620,2,Rim
41,7026447,3,Scratch
745,7026840,2,Rim
383,7058499,2,Rim
312,7036477,2,Rim
301,7026376,2,Rim
213,7058613,3,Scratch
251,7035038,2,Rim
139,7056196,3,Scratch
71,7038423,3,Scratch
331,7026511,3,Scratch
45,7039945,0,Dent
676,7031498,2,Rim
78,7035880,0,Dent
245,7050345,3,Scratch
777,7072928,0,Dent
246,7046329,2,Rim
576,7070191,1,Other
106,7070487,1,Other
341,7068654,2,Rim
806,7070370,3,Scratch
339,7066493,0,Dent
62,7048995,2,Rim
372,7070121,2,Rim
854,7031100,3,Scratch
190,7025799,1,Other
867,7061194,0,Dent
319,7048713,3,Scratch
261,7055702,0,Dent
740,7041122,0,Dent
800,7063077,0,Dent
895,7038343,2,Rim
255,7040344,0,Dent
93,7070717,1,Other
436,7069918,0,Dent
566,7070891,0,Dent
476,7031863,3,Scratch
523,7044294,0,Dent
162,7031873,3,Scratch
434,7058205,0,Dent
477,7048678,3,Scratch
276,7071032,2,Rim
762,7029264,3,Scratch
363,7058583,2,Rim
241,7025740,2,Rim
423,7058727,2,Rim
742,7074812,1,Other
541,7027239,0,Dent
768,7069567,3,Scratch
409,7025458,1,Other
54,7075255,3,Scratch
534,7065457,2,Rim
537,7039941,0,Dent
475,7056192,0,Dent
871,7038471,3,Scratch
866,7027363,3,Scratch
149,7075060,0,Dent
848,7074270,2,Rim
459,7034995,2,Rim
627,7071007,3,Scratch
375,7038309,2,Rim
150,7064241,1,Other
327,7044101,0,Dent
868,7044707,3,Scratch
157,7037352,2,Rim
211,7074818,1,Other
348,7070285,3,Scratch
63,7048995,3,Scratch
713,7054167,2,Rim
539,7056347,3,Scratch
804,7071665,0,Dent
881,7038335,3,Scratch
634,7025488,2,Rim
606,7046482,2,Rim
225,7072506,0,Dent
482,7026440,0,Dent
428,7040011,0,Dent
512,7034794,3,Scratch
469,7059508,0,Dent
266,7058629,0,Dent
135,7034548,3,Scratch
599,7070007,0,Dent
550,7036406,0,Dent
823,7030874,0,Dent
839,7026519,3,Scratch
527,7032143,0,Dent
568,7040112,0,Dent
679,7038325,3,Scratch
694,7065787,2,Rim
684,7058414,3,Scratch
60,7062405,0,Dent
19,7026503,0,Dent
70,7036229,2,Rim
431,7040995,3,Scratch
229,7034925,3,Scratch
815,7051713,0,Dent
4,7062766,0,Dent
371,7066827,0,Dent
649,7035040,2,Rim
40,7035843,0,Dent
497,7025503,2,Rim
377,7025392,1,Other
743,7074812,1,Other
879,7038335,0,Dent
307,7036587,2,Rim
103,7052805,3,Scratch
5,7060727,2,Rim
483,7026440,0,Dent
82,7028955,3,Scratch
124,7054613,3,Scratch
170,7034960,2,Rim
360,7026458,3,Scratch
724,7036125,2,Rim
159,7027556,0,Dent
267,7027165,3,Scratch
224,7072506,0,Dent
430,7071297,0,Dent
298,7059704,0,Dent
359,7026458,0,Dent
489,7038160,2,Rim
384,7052881,3,Scratch
293,7074815,1,Other
119,7059918,2,Rim
452,7076154,0,Dent
30,7065560,0,Dent
201,7064748,2,Rim
218,7072864,3,Scratch
785,7049780,2,Rim
365,7067258,3,Scratch
322,7058729,2,Rim
27,7041045,0,Dent
779,7031782,3,Scratch
717,7045760,2,Rim
655,7055080,1,Other
347,7070285,2,Rim
545,7025566,3,Scratch
389,7048603,2,Rim
455,7071522,2,Rim
349,7070285,0,Dent
223,7026612,2,Rim
23,7034734,0,Dent
770,7059116,0,Dent
233,7041084,0,Dent
805,7059672,2,Rim
297,7072750,3,Scratch
850,7065085,0,Dent
509,7070814,0,Dent
102,7061414,2,Rim
151,7038269,3,Scratch
432,7071261,1,Other
287,7073168,3,Scratch
253,7071864,0,Dent
94,7070717,1,Other
819,7048961,0,Dent
133,7059136,0,Dent
682,7060597,2,Rim
181,7038251,3,Scratch
678,7031471,0,Dent
873,7048595,1,Other
525,7031796,1,Other
35,7057746,3,Scratch
464,7071020,3,Scratch
457,7027450,3,Scratch
872,7048595,1,Other
437,7069388,2,Rim
104,7073816,3,Scratch
204,7031131,3,Scratch
238,7070287,2,Rim
173,7059708,3,Scratch
825,7058003,3,Scratch
458,7051056,2,Rim
357,7030703,0,Dent
202,7031114,3,Scratch
795,7067447,2,Rim
543,7034560,3,Scratch
465,7071020,2,Rim
710,7068889,0,Dent
853,7031100,0,Dent
212,7073124,3,Scratch
145,7071722,1,Other
277,7031097,2,Rim
136,7035064,3,Scratch
849,7051295,3,Scratch
750,7036300,2,Rim
706,7061783,0,Dent
393,7066398,0,Dent
501,7053296,3,Scratch
394,7055042,0,Dent
7,7046567,2,Rim
200,7072447,3,Scratch
821,7063285,0,Dent
288,7054038,2,Rim
6,7031758,3,Scratch
799,7025656,1,Other
166,7061617,0,Dent
72,7049171,3,Scratch
20,7026503,0,Dent
21,7038438,3,Scratch
567,7027042,2,Rim
281,7030892,3,Scratch
345,7063020,2,Rim
654,7049135,2,Rim
817,7069828,3,Scratch
318,7055118,0,Dent
95,7070717,1,Other
316,7068667,2,Rim
240,7048999,2,Rim
113,7060493,2,Rim
633,7069916,2,Rim
22,7053779,3,Scratch
338,7034754,3,Scratch
219,7072864,3,Scratch
473,7072891,1,Other
443,7025386,1,Other
398,7061806,2,Rim
178,7034958,3,Scratch
816,7072300,1,Other
15,7037300,2,Rim
857,7038482,3,Scratch
760,7027155,3,Scratch
847,7075501,2,Rim
388,7071028,0,Dent
864,7058518,3,Scratch
715,7066379,0,Dent
478,7048678,2,Rim
