annotation_index,image_id,human_label,label_name
0,7057517,2,Other
1,7073954,2,Other
2,7073954,1,Dent
3,7074070,4,Scratch
4,7062766,1,Dent
5,7060727,3,Rim
6,7031758,4,Scratch
7,7046567,3,Rim
8,7060786,1,Dent
9,7071047,3,Rim
10,7046596,3,Rim
11,7041133,1,Dent
12,7062158,3,Rim
13,7034932,3,Rim
14,7075548,4,Scratch
15,7037300,3,Rim
16,7036543,4,Scratch
17,7036543,4,Scratch
18,7036544,3,Rim
19,7026503,1,Dent
20,7026503,1,Dent
21,7038438,4,Scratch
22,7053779,4,Scratch
23,7034734,1,Dent
24,7030659,3,Rim
25,7056390,4,Scratch
26,7036350,4,Scratch
27,7041045,1,Dent
28,7035253,1,Dent
29,7051720,4,Scratch
30,7065560,1,Dent
31,7046521,1,Dent
32,7060898,3,Rim
33,7025381,2,Other
34,7025381,4,Scratch
35,7057746,4,Scratch
36,7027038,3,Rim
37,7040267,1,Dent
38,7062634,1,Dent
39,7027002,3,Rim
40,7035843,1,Dent
41,7026447,4,Scratch
42,7070672,4,Scratch
43,7062009,3,Rim
44,7061068,3,Rim
45,7039945,1,Dent
46,7036076,3,Rim
47,7036076,1,Dent
48,7055548,4,Scratch
49,7044701,1,Dent
50,7025737,3,Rim
51,7025467,3,Rim
52,7059959,3,Rim
53,7027784,4,Scratch
54,7075255,4,Scratch
55,7025641,2,Other
56,7025641,4,Scratch
57,7073374,4,Scratch
58,7038340,4,Scratch
59,7041108,3,Rim
60,7062405,1,Dent
61,7063346,1,Dent
62,7048995,3,Rim
63,7048995,4,Scratch
64,7026798,3,Rim
65,7035006,4,Scratch
66,7035006,3,Rim
67,7035006,1,Dent
68,7075038,1,Dent
69,7058622,2,Other
70,7036229,3,Rim
71,7038423,4,Scratch
72,7049171,4,Scratch
73,7049171,4,Scratch
74,7049171,2,Other
75,7051604,1,Dent
76,7070056,1,Dent
77,7040796,1,Dent
78,7035880,1,Dent
79,7035057,4,Scratch
80,7060866,3,Rim
81,7060866,1,Dent
82,7028955,4,Scratch
83,7052811,1,Dent
84,7038055,1,Dent
85,7053664,4,Scratch
86,7049130,3,Rim
87,7041047,1,Dent
88,7041047,3,Rim
89,7057752,2,Other
90,7040001,1,Dent
91,7039896,1,Dent
92,7046459,3,Rim
93,7070717,2,Other
94,7070717,2,Other
95,7070717,2,Other
96,7070565,1,Dent
97,7067002,4,Scratch
98,7025512,2,Other
99,7035007,1,Dent
100,7046737,3,Rim
101,7066460,4,Scratch
102,7061414,3,Rim
103,7052805,4,Scratch
104,7073816,4,Scratch
105,7030898,1,Dent
106,7070487,2,Other
107,7051520,4,Scratch
108,7031905,4,Scratch
109,7038349,4,Scratch
110,7038349,3,Rim
111,7070122,4,Scratch
112,7070122,4,Scratch
113,7060493,3,Rim
114,7069793,1,Dent
115,7037530,3,Rim
116,7044758,3,Rim
117,7060790,3,Rim
118,7038134,4,Scratch
119,7059918,3,Rim
120,7058090,1,Dent
121,7074046,4,Scratch
122,7074046,3,Rim
123,7054613,4,Scratch
124,7054613,4,Scratch
125,7038432,4,Scratch
126,7048684,3,Rim
127,7039690,1,Dent
128,7038293,3,Rim
129,7038293,4,Scratch
130,7071064,3,Rim
131,7037370,3,Rim
132,7060887,3,Rim
133,7059136,1,Dent
134,7034548,4,Scratch
135,7034548,4,Scratch
136,7035064,4,Scratch
137,7041337,4,Scratch
138,7044360,2,Other
139,7056196,4,Scratch
140,7044791,3,Rim
141,7070924,3,Rim
142,7068630,3,Rim
143,7068630,1,Dent
